H,BRANCH,CITY,STATE,ZIP,PART NO,QTY, ,IVC NBR,DATE,COST,PRICE,RES.EXT,ACCT.,NAME,CUST PO#,SHIP DATE,SHIP NBR,COUNTRY CODE,ID,CURRENCY CODE,EXCHANGE RATE,ID,CURRENCY CODE,EXCHANGE DATE
L,HK,"KWUN TONG,KOWLOON",EX,0,SiT8021AI-J4-18S-19.200000E,10, ,55929036,20200304,0.457,0.948,9.48,5933995,HK LIANCHUANG ELECTRONICS CO LTD(C),MOUSER20030307,20200304,,HK,BY,USD,1,SE,USD,20200304
L,HK,"KWUN TONG,KOWLOON",EX,0,SIT9120AI-2D3-33E200.000000X,24, ,55930866,20200304,1.596,3.08,73.92,5933995,HK LIANCHUANG ELECTRONICS CO LTD(C),MOUSER20030403,20200304,,HK,BY,USD,1,SE,USD,20200304
L,WEB,BUCHEN,EX,74722,SiT8008BI-13-33S-25.000000G,10, ,55934486,20200304,0.45,0.994,9.94,5952326,MOSCA ELEKTRONIK UND,BE-18480,20200304,,DE,BY,USD,1,SE,USD,20200304
L,FR,ROSHEIM,EX,67560,SIT1552AC-JE-DCC-32.768D,5, ,55935561,20200304,0.76,1.585,7.925,5841162,PROTOELECTRONIQUE,AP20201807-R,20200304,,FR,BY,USD,1,SE,USD,20200304
L,IN,BANGALORE,KA,560100,SiT9121AI-2B1-33E100.000000G,2, ,55935799,20200304,5.85,9.82,19.64,5970589,TESSOLVE SEMICONDUCTOR PVT LTD,BLRSPO-1920-MP0048,20200304,,IN,BY,USD,1,SE,USD,20200304
L,IN,BANGALORE,KA,560100,SIT8008AI-11-18E-33.333333G,3, ,55935799,20200304,0.511,1.2,3.6,5970589,TESSOLVE SEMICONDUCTOR PVT LTD,BLRSPO-1920-MP0048,20200304,,IN,BY,USD,1,SE,USD,20200304
L,DE,ULM,EX,89079,SIT8008BI-72-33E-25.000000G,10, ,55936670,20200304,0.489,1.082,10.82,5758763,CAD-UL ELECTRONIC SERVICES,652567,20200304,,DE,BY,USD,1,SE,USD,20200304
L,WEB,CUERS,EX,83390,SIT1533AC-H5-DCC-32.768E,250, ,55887533,20200305,0.396,0.741,185.25,5828953,CABELVAR,A202000124,20200305,,FR,BY,USD,1,SE,USD,20200305
L,DE,ERFURT,EX,99087,SIT1533AI-H4-AA2-32.768G,10, ,55896981,20200305,0.517,1.137,11.37,5000434,VOIGT ELECTRONIC GMBH,2020-120753,20200305,,DE,BY,USD,1,SE,USD,20200305
L,TX,HATFIELD,PA,19440,SIT2001BI-S2-33E-24.000000G,35, ,55903905,20200305,0.359,1.23,43.05,1565248,YOUNGTRON INC.,201423,20200305,,US,BY,USD,1,SE,USD,20200305
L,WEB,BEIJING,BJ,101400,SiT5155AI-FK-33E0-20.000000X,10, ,55935127,20200305,15.0228,23.1,231,5A273EE,"BEIJING SIFANG MEASUREMENT & CONTROL TECHNOLOGY CO., LTD.",18501915,20200305,,CN,BY,USD,1,SE,USD,20200305
L,WEB,SOUTH ELGIN,IL,60177,SIT8008BI-21-33E-40.000000G,15, ,55943561,20200305,0.511,0.974,14.61,1624906,BESTPROTO,JW030420-5,20200305,,US,BY,USD,1,SE,USD,20200305
L,WEB,NAGANO,EX,3850021,SiT2001BI-S2-33E-16.000000E,4, ,55948790,20200305,0.359,0.97,3.88,5764466,"CORE STAFF CO., LTD (C)",200305KI0309-,20200305,,JP,BY,USD,1,SE,USD,20200305
L,WEB,TAIPEI,EX,11492,SiT1533AI-H4-DCC-32.768E,50, ,55950701,20200305,0.416,0.94,47,5117298,PRIMAX ELECTRONICS LTD.,18510514,20200305,,TW,BY,USD,1,SE,USD,20200305
L,WEB,ST.PETERSBURG,EX,194223,SiT8924BA-72-18E-50.000000E,100, ,55952024,20200305,1.115,1.68,168,5354700,PM ELECTRONICS,PM-831/20,20200305,,RU,BY,USD,1,SE,USD,20200305
L,DE,BACKNANG,EX,71522,SiT9365AC-2B2-25E156.250000G,5, ,55952349,20200305,3.96,7.171,35.855,5076528,TESAT-SPACECOM GMBH & CO. KG,U17-4500524808,20200305,,DE,BY,USD,1,SE,USD,20200305
